	Domain	Supergroup	Division	Subdivision	Class	Order	Family	Genus	Species
OTU01	Eukaryota	Obazoa	Opisthokonta	Ichthyosporea	Ichthyophonida	Abeoformidae	Abeoformidae_Group_MAIP_2	Abeoformidae_Group_MAIP_2_X	Abeoformidae_Group_MAIP_2_X_sp.
OTU02	Eukaryota	Amoebozoa	Discosea	Discosea_X	Centramoebia	Acanthopodida	Acanthamoebidae	Acanthamoeba	Acanthamoeba_lenticulata
OTU03	Eukaryota	Amoebozoa	Discosea	Discosea_X	Centramoebia	Acanthopodida	Acanthamoebidae	Acanthamoeba	Acanthamoeba_sp.
OTU04	Eukaryota	Obazoa	Opisthokonta	Metazoa	Arthropoda	Crustacea	Malacostraca	Acanthephyra	Acanthephyra_eximia
OTU05	Eukaryota	Obazoa	Opisthokonta	Metazoa	Acanthocephala	Acanthocephala_X	Acanthocephala_XX	Acanthocephalus	Acanthocephalus_anguillae
OTU06	Eukaryota	Obazoa	Opisthokonta	Metazoa	Acanthocephala	Acanthocephala_X	Acanthocephala_XX	Acanthocephalus	Acanthocephalus_dirus
OTU07	Eukaryota	TSAR	Rhizaria	Radiolaria	Acantharea	Acantharea_B	Acantharea_B1	Acanthochiasma	Acanthochiasma_sp.
OTU08	Eukaryota	Obazoa	Opisthokonta	Metazoa	Craniata	Craniata_X	Lepidosauria	Acanthodactylus	Acanthodactylus_boskianus
OTU09	Eukaryota	TSAR	Rhizaria	Radiolaria	Acantharea	Acantharea_A	Acantharea_A_X	Acanthoplegma	Acanthoplegma_sp.
OTU10	Eukaryota	Obazoa	Opisthokonta	Fungi	Mucoromycota	Glomeromycotina	Diversisporales	Acaulospora	Acaulospora_sp.
OTU100	Eukaryota	Obazoa	Opisthokonta	Metazoa	Myxozoa	Myxozoa_X	Myxosporea	Chloromyxum	Chloromyxum_legeri
OTU101	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Trebouxiophyceae	Chlorellales	Chlorellales_X	Chloroparva	Chloroparva_pannonica
OTU102	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloroparvula	Chloroparvula_pacifica
OTU103	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyta_XX	Chlorophyta_XXX	Chlorophyta_XXXX	Chlorophyta_XXXXX	Chlorophyta_XXXXX_sp.
OTU104	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloropicon	Chloropicon_laureae
OTU105	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloropicon	Chloropicon_roscoffensis
OTU106	Eukaryota	Obazoa	Opisthokonta	Metazoa	Craniata	Craniata_X	Craniata_XX	Choloepus	Choloepus_hoffmanni
OTU107	Bacteria	Terrabacteria	Firmicutes	Firmicutes_X	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae_X	Christensenellaceae_X_sp.
OTU108	Eukaryota	Obazoa	Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Chroogomphus	Chroogomphus_rutilus
OTU109	Eukaryota	Cryptista	Cryptophyta	Cryptophyta_X	Cryptophyceae	Cryptomonadales	Hemiselmidaceae	Chroomonas	Chroomonas_coerulea
OTU11	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Achromobacter	Achromobacter_spanius
OTU110	Eukaryota	Cryptista	Cryptophyta	Cryptophyta_X	Cryptophyceae	Cryptomonadales	Hemiselmidaceae	Chroomonas	Chroomonas_sp.
OTU111	Eukaryota	Obazoa	Opisthokonta	Metazoa	Craniata	Craniata_X	Testudines	Chrysemys	Chrysemys_sp.
OTU112	Eukaryota	Haptista	Haptophyta	Haptophyta_X	Prymnesiophyceae	Prymnesiales	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp.
OTU113	Eukaryota	Obazoa	Opisthokonta	Metazoa	Nematoda	Enoplea	Enoplea_X	Chrysonema	Chrysonema_attenuatum
OTU114	Eukaryota	Archaeplastida	Rhodophyta	Rhodophyta_X	Florideophyceae	Rhodymeniales	Rhodymeniales_X	Chylocladia	Chylocladia_schneideri
OTU115	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiales_X	Chytridiales_XX	Chytridiales_XX_sp.
OTU116	Eukaryota	TSAR	Rhizaria	Foraminifera	Globothalamea	Rotaliida	Cibicididae	Cibicidoides	Cibicidoides_pachyderma
OTU117	Eukaryota	Obazoa	Opisthokonta	Metazoa	Urochordata	Urochordata_X	Ascidiacea	Ciona	Ciona_intestinalis
OTU118	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Citrobacter	Citrobacter_freundii
OTU119	Eukaryota	TSAR	Rhizaria	Radiolaria	Polycystinea	Spumellaria	Astrosphaeridae	Cladococcus	Cladococcus_scoparius
OTU12	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Gammaproteobacteria	Ectothiorhodospirales	Acidihalobacteraceae	Acidihalobacter	Acidihalobacter_sp.
