	Superkingdom	Phylum	Class	Order	Family	Genus	Species
OTU01	Viruses	Uroviricota	Caudoviricetes	NA	Autographiviridae	Aarhusvirus	Aarhusvirus luksen
OTU02	Viruses	NA	NA	NA	NA	NA	Acanthamoeba castellanii medusavirus
OTU03	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Dependoparvovirus	Adeno-associated virus
OTU04	Viruses	Nucleocytoviricota	Pokkesviricetes	Asfuvirales	Asfarviridae	Asfivirus	African swine fever virus
OTU05	Viruses	Uroviricota	Caudoviricetes	NA	NA	Alcyoneusvirus	Alcyoneusvirus RaK2
OTU06	Viruses	Uroviricota	Caudoviricetes	NA	NA	Alegriavirus	Alegriavirus av2B8
OTU07	Viruses	Uroviricota	Caudoviricetes	NA	NA	Alexandravirus	Alexandravirus SNUABM16
OTU08	Viruses	NA	Naldaviricetes	Lefavirales	Baculoviridae	Alphabaculovirus	Alphabaculovirus agipsilonis
OTU09	Viruses	NA	Naldaviricetes	Lefavirales	Baculoviridae	Alphabaculovirus	Alphabaculovirus alteragsegetum
OTU10	Viruses	NA	Naldaviricetes	Lefavirales	Baculoviridae	Alphabaculovirus	Alphabaculovirus anpernyi
OTU11	Viruses	NA	Naldaviricetes	Lefavirales	Baculoviridae	Alphabaculovirus	Alphabaculovirus busuppressariae
OTU12	Viruses	NA	Naldaviricetes	Lefavirales	Baculoviridae	Alphabaculovirus	Alphabaculovirus chrychalcites
OTU13	Viruses	NA	Naldaviricetes	Lefavirales	Baculoviridae	Alphabaculovirus	Alphabaculovirus clabilineatae
OTU14	Viruses	NA	Naldaviricetes	Lefavirales	Baculoviridae	Alphabaculovirus	Alphabaculovirus cycundantis
OTU15	Viruses	NA	Naldaviricetes	Lefavirales	Baculoviridae	Alphabaculovirus	Alphabaculovirus eupseudoconspersae
OTU16	Viruses	NA	Naldaviricetes	Lefavirales	Baculoviridae	Alphabaculovirus	Alphabaculovirus helarmigerae
OTU17	Viruses	NA	Naldaviricetes	Lefavirales	Baculoviridae	Alphabaculovirus	Alphabaculovirus heleucae
OTU18	Viruses	NA	Naldaviricetes	Lefavirales	Baculoviridae	Alphabaculovirus	Alphabaculovirus hycuneae
OTU19	Viruses	NA	Naldaviricetes	Lefavirales	Baculoviridae	Alphabaculovirus	Alphabaculovirus mavitratae
OTU20	Viruses	NA	Naldaviricetes	Lefavirales	Baculoviridae	Alphabaculovirus	Alphabaculovirus speridaniae
OTU21	Viruses	NA	Naldaviricetes	Lefavirales	Baculoviridae	Alphabaculovirus	Alphabaculovirus splittoralis
OTU22	Viruses	NA	Naldaviricetes	Lefavirales	Baculoviridae	Alphabaculovirus	Alphabaculovirus spliturae
OTU23	Viruses	NA	Naldaviricetes	Lefavirales	Baculoviridae	Alphabaculovirus	Alphabaculovirus travishnous
OTU24	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Fusariviridae	Alphafusarivirus	Alphafusarivirus auriculariae
OTU25	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Fusariviridae	Alphafusarivirus	Alphafusarivirus botryospheriae
OTU26	Viruses	NA	Naldaviricetes	Lefavirales	Nudiviridae	Alphanudivirus	Alphanudivirus droinnubilae
OTU27	Viruses	NA	Naldaviricetes	Lefavirales	Nudiviridae	Alphanudivirus	Alphanudivirus dromelanogasteris
OTU28	Viruses	NA	Naldaviricetes	Lefavirales	Nudiviridae	Alphanudivirus	Alphanudivirus grybimaculati
OTU29	Viruses	NA	Naldaviricetes	Lefavirales	Nudiviridae	Alphanudivirus	Alphanudivirus oryrhinocerotis
OTU30	Viruses	NA	Naldaviricetes	Lefavirales	Nudiviridae	Alphanudivirus	Alphanudivirus quartudromelanogasteris
OTU31	Viruses	NA	Naldaviricetes	Lefavirales	Nudiviridae	Alphanudivirus	Alphanudivirus tertidromelanogasteris
OTU32	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Alphapapillomavirus	Alphapapillomavirus 14
OTU33	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Alternaviridae	Alternavirus	Alternavirus alternariae
OTU34	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Alternaviridae	Alternavirus	Alternavirus aspergilli
OTU35	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Alternaviridae	Alternavirus	Alternavirus cordycipitae
OTU36	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Alternaviridae	Alternavirus	Alternavirus foxispori
OTU37	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Anativirus	Anativirus aductai
OTU38	Viruses	Uroviricota	Caudoviricetes	NA	NA	Anayavirus	Anayavirus yunkel11
OTU39	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Dicistroviridae	Aparavirus	Aparavirus apisacutum
OTU40	Viruses	Uroviricota	Caudoviricetes	NA	Autographiviridae	Apdecimavirus	Apdecimavirus AP10
OTU41	Viruses	NA	Naldaviricetes	Lefavirales	Baculoviridae	Alphabaculovirus	Apocheima cinerarium nucleopolyhedrovirus
OTU42	Viruses	Pisuviricota	Stelpaviricetes	Patatavirales	Potyviridae	Arepavirus	Areca palm necrotic spindle-spot virus
OTU43	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Ascoviridae	Ascovirus	Ascovirus TnAV2a
OTU44	Viruses	Uroviricota	Caudoviricetes	NA	NA	Audreyjarvisvirus	Audreyjarvisvirus WRP3
OTU45	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Malacoherpesviridae	Aurivirus	Aurivirus haliotidmalaco1
OTU46	Viruses	Kitrinoviricota	Alsuviricetes	Tymovirales	Betaflexiviridae	Banmivirus	Banmivirus musae
OTU47	Viruses	Uroviricota	Caudoviricetes	NA	Herelleviridae	Baoshanvirus	Baoshanvirus BS2
OTU48	Viruses	Kitrinoviricota	Alsuviricetes	Martellivirales	Virgaviridae	Hordeivirus	Barley stripe mosaic virus
OTU49	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Bat Hp-betacoronavirus Zhejiang2013
OTU50	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Bat alphacoronavirus
OTU51	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	Circovirus	Bat circovirus
OTU52	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Oryzopoxvirus	BeAn 58058 virus
OTU53	Viruses	NA	NA	NA	NA	NA	Beihai picorna-like virus 7
OTU54	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Gammacoronavirus	Beluga whale coronavirus SW1
OTU55	Viruses	Uroviricota	Caudoviricetes	NA	Autographiviridae	Berlinvirus	Berlinvirus A7
OTU56	Viruses	Uroviricota	Caudoviricetes	NA	Autographiviridae	Berlinvirus	Berlinvirus BA14
OTU57	Viruses	Uroviricota	Caudoviricetes	NA	Autographiviridae	Berlinvirus	Berlinvirus BP12A
OTU58	Viruses	Uroviricota	Caudoviricetes	NA	Autographiviridae	Berlinvirus	Berlinvirus FE44
OTU59	Viruses	Uroviricota	Caudoviricetes	NA	Autographiviridae	Berlinvirus	Berlinvirus PP74
OTU60	Viruses	Uroviricota	Caudoviricetes	NA	Autographiviridae	Berlinvirus	Berlinvirus PYPS50
OTU61	Viruses	Uroviricota	Caudoviricetes	NA	Autographiviridae	Berlinvirus	Berlinvirus RN5i1
OTU62	Viruses	Uroviricota	Caudoviricetes	NA	Autographiviridae	Berlinvirus	Berlinvirus Yepe2
OTU63	Viruses	Uroviricota	Caudoviricetes	NA	Autographiviridae	Berlinvirus	Berlinvirus berlin
OTU64	Viruses	NA	Naldaviricetes	Lefavirales	Baculoviridae	Betabaculovirus	Betabaculovirus agsegetum
OTU65	Viruses	NA	Naldaviricetes	Lefavirales	Baculoviridae	Betabaculovirus	Betabaculovirus alterclanastomosis
OTU66	Viruses	NA	Naldaviricetes	Lefavirales	Baculoviridae	Betabaculovirus	Betabaculovirus cnamedinalis
OTU67	Viruses	NA	Naldaviricetes	Lefavirales	Baculoviridae	Betabaculovirus	Betabaculovirus epaporemae
OTU68	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Betaentomopoxvirus	Betaentomopoxvirus amoorei
OTU69	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Fusariviridae	Betafusarivirus	Betafusarivirus brasiliensis
OTU70	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Hypoviridae	Betahypovirus	Betahypovirus sclerotiniae
OTU71	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	Schizomimiviridae	Biavirus	Biavirus raunefjordenense
OTU72	Viruses	Uroviricota	Caudoviricetes	NA	NA	Bievrevirus	Bievrevirus bv4A7
OTU73	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Bovine immunodeficiency virus
OTU74	Viruses	NA	NA	NA	Polydnaviriformidae	Bracoviriform	Bracoviriform congregatae
OTU75	Viruses	Uroviricota	Caudoviricetes	NA	NA	Branisovskavirus	Branisovskavirus Kc263
OTU76	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Brevihamaparvovirus	Brevihamaparvovirus dipteran2
OTU77	Viruses	Kitrinoviricota	Alsuviricetes	Martellivirales	Bromoviridae	Bromovirus	Broad bean mottle virus
OTU78	Viruses	Uroviricota	Caudoviricetes	NA	NA	Brunovirus	Brunovirus SEN34
OTU79	Viruses	Uroviricota	Caudoviricetes	NA	Aliceevansviridae	Brussowvirus	Brussowvirus 20617
OTU80	Viruses	Uroviricota	Caudoviricetes	NA	Aliceevansviridae	Brussowvirus	Brussowvirus bvO1205
OTU81	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Alloherpesviridae	Batrachovirus	Bufonid herpesvirus 1
OTU82	Viruses	Uroviricota	Caudoviricetes	NA	NA	Byrnievirus	Byrnievirus HK97
OTU83	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Amalgaviridae	NA	Capsicum annuum amalgavirus 1
OTU84	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Cardiovirus	Cardiovirus A
OTU85	Viruses	Kitrinoviricota	Alsuviricetes	Tymovirales	Betaflexiviridae	Carlavirus	Carlavirus AgCVB
OTU86	Viruses	Uroviricota	Caudoviricetes	NA	Autographiviridae	Caroctavirus	Caroctavirus CR8
OTU87	Viruses	Kitrinoviricota	Alsuviricetes	Martellivirales	Bromoviridae	Bromovirus	Cassia yellow blotch virus
OTU88	Viruses	Uroviricota	Caudoviricetes	NA	NA	Cbastvirus	Cbastvirus ST
OTU89	Viruses	Uroviricota	Caudoviricetes	NA	NA	Certrevirus	Certrevirus CR3
OTU90	Viruses	NA	NA	NA	NA	NA	Changjiang hepe-like virus 1
OTU91	Viruses	Uroviricota	Caudoviricetes	NA	NA	Chaoshanvirus	Chaoshanvirus ZPAH34
OTU92	Viruses	Uroviricota	Caudoviricetes	NA	Autographiviridae	Chatterjeevirus	Chatterjeevirus VP4
OTU93	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Betaentomopoxvirus	Choristoneura rosaceana entomopoxvirus
OTU94	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	NA	Chrysochromulina ericina virus
OTU95	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Prymnesiovirus	Chrysochromulina parva virus
OTU96	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	Circovirus	Circovirus bastao
OTU97	Viruses	Uroviricota	Caudoviricetes	NA	Salasmaviridae	Claudivirus	Claudivirus stitch
OTU98	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Clostridium phage c-st
OTU99	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Clostridium phage phiCD211
OTU100	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Clostridium phage phiCT19406C
OTU101	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Clostridium phage vB_CpeS-CP51
OTU102	Viruses	Kitrinoviricota	Alsuviricetes	Martellivirales	Virgaviridae	Pomovirus	Colombian potato soil-borne virus
OTU103	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Iridoviridae	Ranavirus	Common midwife toad virus
OTU104	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Copiparvovirus	Copiparvovirus ungulate1
OTU105	Viruses	Uroviricota	Caudoviricetes	NA	Stanwilliamsviridae	Coruscantvirus	Coruscantvirus coruscant
OTU106	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Oryzopoxvirus	Cotia virus
OTU107	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Cotonvirus	Cotonvirus japonicum
OTU108	Viruses	Uroviricota	Caudoviricetes	NA	NA	Coventryvirus	Coventryvirus SP441
OTU109	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Cowpox virus
OTU110	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	Betapartitivirus	Crimson clover cryptic virus 2
OTU111	Viruses	Kitrinoviricota	Alsuviricetes	Martellivirales	Virgaviridae	Tobamovirus	Cucumber mottle virus
OTU112	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Cytomegalovirus	Cytomegalovirus aotinebeta1
OTU113	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Cytomegalovirus	Cytomegalovirus cercopithecinebeta5
OTU114	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Cytomegalovirus	Cytomegalovirus macacinebeta8
OTU115	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Alloherpesviridae	Cyvirus	Cyvirus anguillidallo1
