tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group
3047827	Cavemovirus deltaepiphylli	Cavemovirus	Caulimoviridae	Ortervirales	Revtraviricetes	Artverviricota	Riboviria	Viruses			
1454025	Dragonfly larvae associated circular virus-4							Viruses			
2956530	Tigrvirus phiE094	Tigrvirus	Peduoviridae		Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
2845964	Pbunavirus R26	Pbunavirus			Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
2955678	Cheoctovirus quickmath	Cheoctovirus			Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
2845548	Lulohlevirus edaphohabitans	Lulohlevirus	Fiersviridae	Norzivirales	Leviviricetes	Lenarviricota	Riboviria	Viruses			
1592129	Odonata-associated circular virus-9							Viruses			
3052585	Orthotospovirus tomatomaculae	Orthotospovirus	Tospoviridae	Bunyavirales	Ellioviricetes	Negarnaviricota	Riboviria	Viruses			
1500757	Pseudomonas phage phiPSA1				Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
2845984	Psouhdivirus pedohabitans	Psouhdivirus	Steitzviridae	Timlovirales	Leviviricetes	Lenarviricota	Riboviria	Viruses			
1211641	Caulobacter virus Karma	Shapirovirus			Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
2733326	Murciavirus CB5A	Murciavirus	Autographiviridae		Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
3060046	Iggyvirus PBPA162	Iggyvirus			Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
3060312	Mobuvirus stephanocirci	Mobuvirus	Phenuiviridae	Bunyavirales	Ellioviricetes	Negarnaviricota	Riboviria	Viruses			
2843641	Lazarusvirus fhyacithree	Lazarusvirus	Straboviridae		Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
3060073	Kumottavirus kumotta	Kumottavirus			Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
1511805	Rosavirus A	Rosavirus	Picornaviridae	Picornavirales	Pisoniviricetes	Pisuviricota	Riboviria	Viruses			
2170250	Leuconostoc virus Ln8	Unaquatrovirus			Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
3052805	Uukuvirus rukutamaense	Uukuvirus	Phenuiviridae	Bunyavirales	Ellioviricetes	Negarnaviricota	Riboviria	Viruses			
574890	Sweet potato leaf curl Lanzarote virus	Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Monodnaviria	Viruses			
1027468	Farmington virus		Rhabdoviridae	Mononegavirales	Monjiviricetes	Negarnaviricota	Riboviria	Viruses			
1922786	Changjiang picorna-like virus 13						Riboviria	Viruses			
1112202	Papaya leaf curl alphasatellite		Alphasatellitidae					Viruses			
1932006	Chicken associated smacovirus	Huchismacovirus	Smacoviridae	Cremevirales	Arfiviricetes	Cressdnaviricota	Monodnaviria	Viruses			
2706523	Opuntia virus 1	Opunvirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Monodnaviria	Viruses			
2845748	Halcyonevirus unity	Halcyonevirus			Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
1891763	Betapolyomavirus secuhominis	Betapolyomavirus	Polyomaviridae	Sepolyvirales	Papovaviricetes	Cossaviricota	Monodnaviria	Viruses			
3047711	Badnavirus epsiloninflatheobromae	Badnavirus	Caulimoviridae	Ortervirales	Revtraviricetes	Artverviricota	Riboviria	Viruses			
2844301	Muminvirus tooticki	Muminvirus			Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
1993630	Betaentomopoxvirus ahonmai	Betaentomopoxvirus	Poxviridae	Chitovirales	Pokkesviricetes	Nucleocytoviricota	Varidnaviria	Viruses			
3052143	Copiparvovirus ungulate2	Copiparvovirus	Parvoviridae	Piccovirales	Quintoviricetes	Cossaviricota	Monodnaviria	Viruses			
